Symptoms,Cause,Chemical_Name,Remedies,Homemade_Soup,Reason_for_Remedi_Suggested,How_to_Use_Remedi,Tips,
Sharp lumbar pain after lifting,Weather change,Elemental sulphur,Sulphur,Tomato basil soup,"For chronic skin conditions, itching, burning",30C thrice daily during acute phase,Keep remedies away from strong odors,
White-coated tongue with bitter taste,Overexertion,Bryonine,Bryonia Alba,Pepper rasam,"For stitching pains, worse with movement",200C weekly for chronic cases,Consult practitioner if severe,
Burning pain in stomach after eating,Indigestion,Silicon dioxide,Silicea,Beetroot soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Consult practitioner if severe,
Sneezing with watery eyes in morning,Poor sleep,Elemental phosphorus,Phosphorus,Beetroot soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Consult practitioner if severe,
Frequent loose stools after spicy food,Allergic reaction,Chamazulene,Chamomilla,Pumpkin soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Avoid caffeine and alcohol,
Hot flushes with night sweats,Overeating,Mercurous salts,Mercurius Solubilis,Mint coriander soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Consult practitioner if severe,
Sore throat with difficulty swallowing,Bacterial infection,Chamazulene,Chamomilla,Beetroot soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Avoid self-medication in serious cases,
Hot flushes with night sweats,Spicy food,Sodium chloride,Natrum Muriaticum,Ginger garlic soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Avoid self-medication in serious cases,
Sharp lumbar pain after lifting,Overexertion,Chamazulene,Chamomilla,Herbal lemon soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Consult practitioner if severe,
Frequent loose stools after spicy food,Poor sleep,Protoanemonin,Pulsatilla,Tomato basil soup,"For mild, emotional patients with changeable symptoms",6C every 4-6 hours until improvement,Observe changes for 48 hours,
Stiff joints worse on first movement,Cold exposure,Aconitine,Aconitum Napellus,Carrot and celery soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Observe changes for 48 hours,
Sharp lumbar pain after lifting,Cold exposure,Mercurous salts,Mercurius Solubilis,Herbal lemon soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Keep remedies away from strong odors,
Pulsating ear pain on swallowing,Viral infection,Protoanemonin,Pulsatilla,Pumpkin soup,"For mild, emotional patients with changeable symptoms","200C single dose, repeat if needed",Avoid caffeine and alcohol,
Frequent loose stools after spicy food,Hormonal imbalance,Elemental sulphur,Sulphur,Spinach lentil soup,"For chronic skin conditions, itching, burning","200C single dose, repeat if needed",Maintain hydration and rest,
White-coated tongue with bitter taste,Food poisoning,Elemental phosphorus,Phosphorus,Carrot and celery soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Observe changes for 48 hours,
White-coated tongue with bitter taste,Spicy food,Organic ink compounds,Sepia,Beetroot soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Keep remedies away from strong odors,
Irritable mood with tearfulness,Indigestion,Sporopollenin,Lycopodium,Spinach lentil soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Avoid self-medication in serious cases,
Sleeplessness due to overthinking,Weather change,Arsenic trioxide,Arsenicum Album,Vegetable clear soup,"For anxiety, restlessness, burning pains",200C weekly for chronic cases,Avoid self-medication in serious cases,
Red itchy rash on forearms,Spicy food,Sodium chloride,Natrum Muriaticum,Vegetable clear soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Keep remedies away from strong odors,
Irritable mood with tearfulness,Poor sleep,Silicon dioxide,Silicea,Herbal lemon soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Observe changes for 48 hours,
Red itchy rash on forearms,Weather change,Calcium carbonate,Calcarea Carbonica,Pumpkin soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Avoid self-medication in serious cases,
Irritable mood with tearfulness,Dehydration,Protoanemonin,Pulsatilla,Herbal lemon soup,"For mild, emotional patients with changeable symptoms",6C every 4-6 hours until improvement,Avoid self-medication in serious cases,
Hot flushes with night sweats,Contaminated water,Elemental phosphorus,Phosphorus,Pepper rasam,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Consult practitioner if severe,
Anxiety with restlessness and fear,Viral infection,Sodium chloride,Natrum Muriaticum,Carrot and celery soup,Matches symptom profile from Materia Medica,6C every 4-6 hours until improvement,Observe changes for 48 hours,
Stiff joints worse on first movement,Emotional distress,Sporopollenin,Lycopodium,Pepper rasam,Matches symptom profile from Materia Medica,30C once daily for 3 days,Maintain hydration and rest,
Sneezing with watery eyes in morning,Spicy food,Elemental sulphur,Sulphur,Herbal lemon soup,"For chronic skin conditions, itching, burning",6C every 4-6 hours until improvement,Avoid self-medication in serious cases,
Frequent loose stools after spicy food,Emotional distress,Thujone,Thuja Occidentalis,Vegetable clear soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Keep remedies away from strong odors,
Cold extremities with chilliness,Contaminated water,Organic ink compounds,Sepia,Spinach lentil soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Maintain hydration and rest,
Burning pain in stomach after eating,Allergic reaction,Strychnine,Nux Vomica,Vegetable clear soup,"For indigestion, irritability after overeating",30C once daily for 3 days,Maintain hydration and rest,
Sleeplessness due to overthinking,Overexertion,Chamazulene,Chamomilla,Pepper rasam,Matches symptom profile from Materia Medica,30C once daily for 3 days,Observe changes for 48 hours,
Irritable mood with tearfulness,Food poisoning,Arsenic trioxide,Arsenicum Album,Spinach lentil soup,"For anxiety, restlessness, burning pains",30C thrice daily during acute phase,Avoid caffeine and alcohol,
Red itchy rash on forearms,Viral infection,Gelsemine,Gelsemium,Pepper rasam,"For anticipatory anxiety, weakness, heaviness",200C weekly for chronic cases,Keep remedies away from strong odors,
Nausea with sour belching,Dehydration,Elemental sulphur,Sulphur,Beetroot soup,"For chronic skin conditions, itching, burning","200C single dose, repeat if needed",Maintain hydration and rest,
Hot flushes with night sweats,Food poisoning,Protoanemonin,Pulsatilla,Ginger garlic soup,"For mild, emotional patients with changeable symptoms",6C every 4-6 hours until improvement,Keep remedies away from strong odors,
Dry skin with flaky patches,Poor sleep,Sodium chloride,Natrum Muriaticum,Mint coriander soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Maintain hydration and rest,
Irritable mood with tearfulness,Contaminated water,Protoanemonin,Pulsatilla,Pumpkin soup,"For mild, emotional patients with changeable symptoms",200C weekly for chronic cases,Consult practitioner if severe,
Irritable mood with tearfulness,Cold exposure,Alkaloids,Ignatia Amara,Beetroot soup,"For grief, emotional suppression",30C thrice daily during acute phase,Maintain hydration and rest,
Dry cough worse at night,Dehydration,Sodium chloride,Natrum Muriaticum,Herbal lemon soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Keep remedies away from strong odors,
White-coated tongue with bitter taste,Food poisoning,Alkaloids,Ignatia Amara,Ginger garlic soup,"For grief, emotional suppression",30C thrice daily during acute phase,Maintain hydration and rest,
Sore throat with difficulty swallowing,Overeating,Alkaloids,Ignatia Amara,Mint coriander soup,"For grief, emotional suppression",30C once daily for 3 days,Avoid self-medication in serious cases,
Dry skin with flaky patches,Dehydration,Elemental phosphorus,Phosphorus,Ginger garlic soup,Matches symptom profile from Materia Medica,200C weekly for chronic cases,Keep remedies away from strong odors,
Stiff joints worse on first movement,Food poisoning,Elemental sulphur,Sulphur,Mint coriander soup,"For chronic skin conditions, itching, burning",6C every 4-6 hours until improvement,Maintain hydration and rest,
Tingling in fingertips in cold weather,Hormonal imbalance,Silicon dioxide,Silicea,Spinach lentil soup,Matches symptom profile from Materia Medica,"200C single dose, repeat if needed",Maintain hydration and rest,
Cramping abdominal pain relieved by bending forward,Allergic reaction,Chamazulene,Chamomilla,Vegetable clear soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Observe changes for 48 hours,
Nausea with sour belching,Poor sleep,Organic ink compounds,Sepia,Vegetable clear soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Keep remedies away from strong odors,
Tingling in fingertips in cold weather,Stress,Urushiol,Rhus Toxicodendron,Carrot and celery soup,"For sprains, stiffness, worse first movement","200C single dose, repeat if needed",Keep remedies away from strong odors,
Red itchy rash on forearms,Contaminated water,Sodium chloride,Natrum Muriaticum,Vegetable clear soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Observe changes for 48 hours,
Sharp lumbar pain after lifting,Food poisoning,Aconitine,Aconitum Napellus,Carrot and celery soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Consult practitioner if severe,
Burning pain in stomach after eating,Overexertion,Protoanemonin,Pulsatilla,Vegetable clear soup,"For mild, emotional patients with changeable symptoms",6C every 4-6 hours until improvement,Maintain hydration and rest,
Pulsating ear pain on swallowing,Allergic reaction,Helenalin,Arnica Montana,Pepper rasam,"For trauma, bruising, muscle soreness","200C single dose, repeat if needed",Avoid caffeine and alcohol,
Dry skin with flaky patches,Spicy food,Urushiol,Rhus Toxicodendron,Spinach lentil soup,"For sprains, stiffness, worse first movement",6C every 4-6 hours until improvement,Observe changes for 48 hours,
Sore throat with difficulty swallowing,Indigestion,Sodium chloride,Natrum Muriaticum,Herbal lemon soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Maintain hydration and rest,
Throbbing headache with sensitivity to light,Emotional distress,Gelsemine,Gelsemium,Pepper rasam,"For anticipatory anxiety, weakness, heaviness",30C thrice daily during acute phase,Observe changes for 48 hours,
Sleeplessness due to overthinking,Poor sleep,Urushiol,Rhus Toxicodendron,Spinach lentil soup,"For sprains, stiffness, worse first movement",30C once daily for 3 days,Avoid caffeine and alcohol,
Nausea with sour belching,Contaminated water,Chamazulene,Chamomilla,Tomato basil soup,Matches symptom profile from Materia Medica,30C once daily for 3 days,Maintain hydration and rest,
Pulsating ear pain on swallowing,Medication side-effect,Bryonine,Bryonia Alba,Tomato basil soup,"For stitching pains, worse with movement",200C weekly for chronic cases,Observe changes for 48 hours,
Anxiety with restlessness and fear,Bacterial infection,Aconitine,Aconitum Napellus,Ginger garlic soup,Matches symptom profile from Materia Medica,30C thrice daily during acute phase,Consult practitioner if severe,
Red itchy rash on forearms,Overeating,Gelsemine,Gelsemium,Vegetable clear soup,"For anticipatory anxiety, weakness, heaviness","200C single dose, repeat if needed",Keep remedies away from strong odors,
Throbbing headache with sensitivity to light,Overexertion,Urushiol,Rhus Toxicodendron,Tomato basil soup,"For sprains, stiffness, worse first movement",200C weekly for chronic cases,Keep remedies away from strong odors,
Burning pain in stomach after eating,Poor sleep,Protoanemonin,Pulsatilla,Pumpkin soup,"For mild, emotional patients with changeable symptoms",30C once daily for 3 days,Observe changes for 48 hours,
